file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,id
audio.wav,0 days 00:00:00.430975057,0 days 00:00:00.450975057,1.7582994,4.2947283,4.2771854,0.07932308,-0.00015761719,0.75958234,-1.650643,-7.6697426,-6.473101,-2.3852947,0.0,0.0,0.0,0.0,0.0,0.0,660.42474,934.5732,-201.0,1631.416,1038.5748,-201.0,2619.462,697.0191,-201.0,audio1
audio.wav,0 days 00:00:00.440997732,0 days 00:00:00.460997732,1.5515605,5.220873,5.726122,0.06658863,0.0097093545,0.72880167,-3.2048855,-8.737771,-9.074769,-0.054462433,0.0,0.0,0.0,0.0,0.0,0.0,683.41113,814.40155,-201.0,1665.3945,1166.2302,-201.0,2612.7188,671.8149,-201.0,audio1
audio.wav,0 days 00:00:00.451020408,0 days 00:00:00.471020408,1.3659815,5.3180995,4.2263346,0.06300167,0.0131021,0.6073945,-5.227769,-11.828174,-9.629532,0.8932399,0.0,0.0,0.0,0.0,0.0,0.0,951.7673,886.9839,-201.0,1938.4069,819.8847,-201.0,2973.6355,541.52496,-201.0,audio1
audio.wav,0 days 00:00:00.461043084,0 days 00:00:00.481043084,1.2077969,6.3811173,3.4769602,0.02772381,0.018173223,0.5252577,-8.449757,-15.379089,-12.424412,4.8375688,0.0,0.0,0.0,0.0,0.0,0.0,1071.8417,931.36676,-201.0,1970.7137,970.8945,-201.0,3012.7852,532.6161,-201.0,audio1
audio.wav,0 days 00:00:00.471065760,0 days 00:00:00.491065760,1.1345174,5.795255,1.5456082,-0.003638709,0.012615856,0.40673518,-8.986275,-17.66423,-14.479232,4.4714446,0.0,0.0,0.0,0.0,0.0,0.0,1016.95245,1023.58136,-201.0,1956.5143,884.3994,-201.0,3033.1204,587.87396,-201.0,audio1
audio.wav,0 days 00:00:00.481088435,0 days 00:00:00.501088435,1.0482196,6.282026,2.984391,-0.008777198,0.013402545,0.3772126,-8.134029,-19.96058,-16.865053,5.195629,0.0,0.0,0.0,0.0,0.0,0.0,648.6643,943.90704,-201.0,1720.5781,995.25214,-118.28913,2757.0408,857.99335,-119.42582,audio1
audio.wav,0 days 00:00:00.491111111,0 days 00:00:00.511111110,0.87475425,7.7119756,3.6167614,0.020631097,0.0155308815,0.31288734,-8.096392,-26.706146,-15.881106,1.3146387,42.38234,0.0,0.0,-5.1782036,-15.576069,-12.647673,589.6854,980.73114,0.0,1676.8715,1022.935,-34.192432,2662.1587,1014.66534,-37.74117,audio1
audio.wav,0 days 00:00:00.501133787,0 days 00:00:00.521133787,0.7703522,9.772259,4.0998764,0.034861457,0.020112365,0.23706503,-9.098889,-36.055344,-17.0012,0.05798316,42.368423,0.0,1.5058346,-5.1606345,-17.787104,-14.392566,893.63165,1034.6696,52.54887,1914.0072,1076.8376,50.227894,2924.0364,963.914,45.08077,audio1
audio.wav,0 days 00:00:00.511156462,0 days 00:00:00.531156462,0.6749285,9.937912,3.5909138,0.04004396,0.022856059,0.19861944,-12.860832,-44.604557,-18.952753,-2.644078,43.646923,0.0198597,1.4920745,-6.324055,-17.616804,-11.179137,1257.3282,980.7951,49.13841,2137.344,1063.2515,47.19987,3167.6028,748.09576,41.934757,audio1
audio.wav,0 days 00:00:00.521179138,0 days 00:00:00.541179138,0.61392874,10.867862,5.6712565,0.03426745,0.035725255,0.18461543,-17.503792,-51.713924,-23.519339,-1.8585051,46.232914,0.19538665,2.316638,-11.251027,-16.349459,-7.883812,1269.7079,936.6257,45.640766,2156.6848,1052.983,43.350494,3160.8896,699.3823,36.473007,audio1
audio.wav,0 days 00:00:00.531201814,0 days 00:00:00.551201814,0.5488048,11.786285,5.579462,0.04868567,0.0456211,0.17298217,-23.438704,-59.48411,-27.025658,-8.524344,48.80362,0.18911882,1.9052085,-11.670184,-11.968883,1.1971054,1309.8771,939.3906,41.376663,2199.9114,1047.7037,38.752262,3160.6243,763.8497,28.210678,audio1
audio.wav,0 days 00:00:00.541224490,0 days 00:00:00.561224490,0.5045503,12.478772,4.853568,0.051139757,0.049322337,0.16419004,-26.52243,-68.81115,-29.319933,-16.14631,50.067623,0.18358217,1.4618515,-10.6096945,-8.270782,5.6473317,1298.0198,911.0064,40.906254,2176.7317,1050.1212,38.703194,3124.86,813.074,26.52902,audio1
audio.wav,0 days 00:00:00.551247166,0 days 00:00:00.571247166,0.46822226,13.17611,4.9674525,0.05072539,0.046543732,0.15201892,-25.951487,-70.1793,-31.068846,-16.981682,49.91985,0.036705866,1.0566196,-6.3283362,-8.054217,6.809175,1259.0581,884.4106,0.0,2159.6702,983.1035,36.875362,3135.2708,911.5039,25.252655,audio1
audio.wav,0 days 00:00:00.561269841,0 days 00:00:00.581269841,0.45205542,12.635919,5.5117154,0.045905054,0.044297706,0.13410686,-23.9121,-67.138306,-33.80188,-10.29664,49.80335,0.051348712,2.0297654,-7.690207,-7.249384,6.033672,1197.7887,859.41925,31.161499,2088.5286,959.38184,35.523968,3084.3206,874.1821,25.980722,audio1
audio.wav,0 days 00:00:00.571292517,0 days 00:00:00.591292517,0.42556635,12.524335,4.9714937,0.04377317,0.043796062,0.123310894,-20.083029,-63.09004,-30.780113,-7.080702,49.464306,0.051744085,2.0998805,-8.4338455,-7.717764,4.6640906,1226.6367,946.5467,32.737415,2118.0051,945.04987,34.71228,3124.6848,812.9292,25.668707,audio1
audio.wav,0 days 00:00:00.581315193,0 days 00:00:00.601315193,0.3777287,11.463276,2.761982,0.048217718,0.045558855,0.09714174,-17.759935,-65.01307,-23.238813,-9.049642,49.245327,0.017952153,1.2797867,-7.3432813,-9.6049,1.0501531,1267.7208,972.7194,32.75469,2150.465,1050.7969,31.718111,3099.179,833.2714,24.317284,audio1
audio.wav,0 days 00:00:00.591337868,0 days 00:00:00.611337868,0.32497573,10.031207,3.0514133,0.04815808,0.043298293,0.07793195,-13.742162,-65.740486,-15.699959,-17.246572,49.04672,0.004435836,0.3448287,-5.2358336,-10.030128,-0.15914917,1315.8916,948.0174,29.296106,2226.599,1016.83105,25.942505,3163.111,791.7497,19.425127,audio1
audio.wav,0 days 00:00:00.601360544,0 days 00:00:00.621360544,0.2838178,10.228023,6.505272,0.042764965,0.049271297,0.06504203,-12.957336,-65.26474,-16.631937,-15.308301,49.070366,0.004435836,0.34482867,-4.0927973,-11.43827,-0.42468452,1310.7164,975.6203,-49.666973,2228.636,992.9438,-52.87958,3170.2627,741.5874,-57.009365,audio1
audio.wav,0 days 00:00:00.611383220,0 days 00:00:00.631383220,0.25497296,9.529403,8.470974,0.047039628,0.040474374,0.059507366,-12.174412,-63.527115,-20.55179,-17.268713,0.0,0.0,0.0,0.0,0.0,0.0,1291.7626,945.0981,-126.82629,2232.6833,912.03827,-128.30492,3190.3997,650.1814,-130.60449,audio1
audio.wav,0 days 00:00:00.621405896,0 days 00:00:00.641405896,0.22585702,10.804947,7.6219068,0.048563574,0.03893101,0.054564495,-9.234845,-61.205196,-18.149214,-12.329651,0.0,0.0,0.0,0.0,0.0,0.0,1341.0887,988.58136,-201.0,2239.0498,987.675,-201.0,3211.0046,711.64386,-201.0,audio1
audio.wav,0 days 00:00:00.631428571,0 days 00:00:00.651428571,0.19365303,12.102543,5.8510876,0.031356674,0.03475337,0.04192974,-4.0966225,-59.33946,-6.2641196,-7.649916,0.0,0.0,0.0,0.0,0.0,0.0,1072.8973,734.6849,-201.0,2019.3662,971.1057,-201.0,2965.8867,806.9031,-201.0,audio1
audio.wav,0 days 00:00:00.641451247,0 days 00:00:00.661451247,0.1577522,12.758218,2.9352455,-0.001145592,0.035179947,0.03323858,1.0908427,-56.48547,8.485644,-3.4829113,0.0,0.0,0.0,0.0,0.0,0.0,831.32837,550.43097,-201.0,1798.9147,870.79767,-201.0,2742.6865,858.4904,-201.0,audio1
audio.wav,0 days 00:00:00.651473923,0 days 00:00:00.671473923,0.14123781,11.114804,3.5349953,-0.026965534,0.036388915,0.026638255,4.689593,-52.183285,17.849627,2.2780466,0.0,0.0,0.0,0.0,0.0,0.0,519.41675,352.84546,-201.0,1533.3842,798.2946,-201.0,2427.2812,847.39795,-201.0,audio1
audio.wav,0 days 00:00:00.661496599,0 days 00:00:00.681496599,0.31455043,3.4929817,5.787491,-0.02000061,0.015448301,0.16427742,10.349565,-33.90519,12.442128,-2.0199583,0.0,0.0,0.0,0.0,0.0,0.0,501.42813,722.7227,-201.0,1516.2588,934.67413,-201.0,2501.3772,852.90137,-201.0,audio1
audio.wav,0 days 00:00:00.671519274,0 days 00:00:00.691519274,0.7179273,-3.9215496,13.375287,-0.023383917,7.049491e-05,0.6284402,16.166594,-13.228911,8.968444,-2.5658576,0.0,0.0,0.0,0.0,0.0,0.0,473.51004,1038.1525,-201.0,1430.6737,1121.6451,-201.0,2449.1606,787.35724,-201.0,audio1
audio.wav,0 days 00:00:00.681541950,0 days 00:00:00.701541950,1.0381558,-11.26434,20.354914,-0.022660548,-0.020283682,0.89315933,21.058344,2.4847324,4.6265144,-8.157741,0.0,0.0,0.0,0.0,0.0,0.0,438.41513,1298.5028,-201.0,1398.5726,1222.2124,-201.0,2482.4854,783.29144,-201.0,audio1
audio.wav,0 days 00:00:00.691564626,0 days 00:00:00.711564626,1.5453366,-10.44738,19.847914,-0.046167314,-0.021054843,1.2388072,19.258959,0.4413961,9.791973,-8.739971,0.0,0.0,0.0,0.0,0.0,0.0,452.1089,1115.6467,-140.23857,1394.4689,1064.0918,-142.1053,2383.0413,719.4035,-142.54001,audio1
audio.wav,0 days 00:00:00.701587302,0 days 00:00:00.721587302,1.8596381,-10.4052,19.704939,-0.060355783,-0.021678844,1.7004544,20.437315,-5.097195,14.104838,-10.159966,17.095592,0.0,0.0,-2.8855495,6.0780306,15.590162,462.94577,985.5171,-81.044304,1453.1178,890.60223,-85.412224,2456.7422,746.9331,-85.85467,audio1
