0,1,2,3,4,5,6,7,8,9,10,11,12
-419.04605,139.59615,17.015984,19.320198,41.949764,16.59851,11.331537,22.651173,11.86506,7.6256866,15.050243,8.692223,3.8027942
-431.46143,130.17285,18.642378,20.56523,39.7732,16.404503,11.998989,21.175747,11.870548,9.852177,13.31897,2.7242575,0.8862143
-439.65347,122.87204,15.63002,17.16494,40.096878,21.559486,15.287867,22.757301,13.551876,9.657495,16.584332,9.462266,-0.3576361
-451.1475,113.720856,14.636665,13.496515,34.95555,21.35459,15.61598,22.390743,15.484389,7.5127497,11.637611,12.685013,4.9959655
-458.7568,112.472015,19.785797,9.61834,28.708324,19.663925,12.861485,19.223433,13.972843,3.3606381,5.792145,12.404917,11.815827
-472.8807,104.635155,24.900698,9.547585,25.732777,23.583206,15.947084,14.4599905,10.702428,7.2499933,7.656682,8.959084,10.421405
-492.59534,90.235,28.16283,12.668343,25.596935,26.631042,19.166374,15.49419,12.841026,10.067703,8.828263,8.322702,8.298468
-510.2369,76.65085,31.997375,19.331337,24.400654,18.435703,9.842421,10.710676,11.524595,7.233753,5.3368807,7.346811,9.076212
-527.5847,63.91081,35.739418,23.233402,23.5276,21.695824,17.783257,16.711544,15.106293,9.8278885,4.588767,3.9093924,7.588485
-545.92896,46.87694,32.30902,22.3606,20.031715,20.269833,19.608269,18.223604,15.585999,10.818798,6.429352,6.396528,10.334382
-336.54233,105.39433,-87.33355,18.24617,-11.594161,-45.786243,17.057205,-3.794676,-0.8680337,24.059929,-2.7314181,5.7728634,15.826079
-168.8851,153.5984,-131.24985,16.34771,-50.6233,-38.678425,4.9522343,-21.415535,-6.067245,10.630379,8.572179,1.426353,3.2646685
-114.16641,185.00584,-128.56947,33.724777,-35.990616,-24.847233,11.833288,-15.206393,2.3125691,9.183698,1.5784755,0.97726667,1.663254
-111.944916,216.2626,-127.20543,45.109886,-6.306392,-35.307842,24.810495,-24.570126,-0.5423132,10.767485,-17.75313,4.154058,1.9787855
-123.32876,231.90411,-115.908066,46.836777,10.348996,-42.569878,33.37009,-21.721416,-13.377651,18.953928,-25.64193,3.1255045,6.2734776
-154.44635,214.33035,-109.28966,45.850613,11.670299,-35.197243,36.691994,-23.214712,-19.980837,12.579739,-29.432228,-1.8932934,0.9132594
-177.41266,200.22049,-112.57706,30.35199,1.4352226,-38.167805,30.573277,-22.76474,-11.892042,19.816683,-25.246105,-1.3392484,-2.9488046
-188.76915,192.43752,-119.10014,19.88198,-0.9763076,-42.177414,24.333979,-23.773754,-17.207985,15.213577,-21.65997,3.2819738,0.18809283
-199.67091,184.33124,-116.49716,24.592606,0.5761695,-42.520885,26.482792,-20.30412,-19.028894,10.180953,-24.945112,0.624703,2.7128313
-198.96902,184.77515,-112.60985,27.719082,-5.2366133,-46.917625,27.724316,-20.820915,-20.096825,8.098816,-29.632114,-1.6979547,6.5525503
-222.69754,173.41849,-108.73749,19.69544,-5.9411716,-40.39164,25.57976,-18.651844,-12.93143,9.801243,-27.536125,0.105561495,4.0763783
-247.91049,152.66797,-118.924,6.5227847,-10.228102,-40.403984,27.315723,-7.460808,-0.27510297,21.310467,-15.567648,8.4360485,6.9919233
